Appid,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
416830,Light Fall,89.99,-50%,0.06,3.3,9,5,2.47,16.5,-75.95,-835.45,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-416830,https://store.steampowered.com/app/416830/Light_Fall/,]
290990,Flower Shop: Summer In Fairbrook,89.99,-50%,0.1,5.5,5,3,2.47,16.5,-75.95,-835.45,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-290990,https://store.steampowered.com/app/290990/Flower_Shop_Summer_In_Fairbrook/,]
404030,Lucky Rabbit Reflex!,89.99,-50%,0.1,5.5,5,3,2.47,16.5,-75.95,-835.45,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-404030,https://store.steampowered.com/app/404030/Lucky_Rabbit_Reflex/,]
361790,Winged Sakura: Mindy's Arc 2,89.99,-50%,0.1,5.5,6,3,2.47,16.5,-75.95,-835.45,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-361790,https://store.steampowered.com/app/361790/Winged_Sakura_Mindys_Arc_2/,]
3800,Advent Rising,87.09,-33%,0.04,2.2,11,6,1.98,13.2,-75.87,-834.57,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-3800,https://store.steampowered.com/app/3800/Advent_Rising/,]
704640,Evolution of Ages: Settlements,84.99,-50%,0.05,2.75,7,4,1.65,11.0,-75.64,-832.04,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-704640,https://store.steampowered.com/app/704640/Evolution_of_Ages_Settlements/,]
612930,Fight of Gods,84.99,-50%,0.04,2.2,10,5,1.65,11.0,-75.64,-832.04,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-612930,https://store.steampowered.com/app/612930/Fight_of_Gods/,]
981770,SENRAN KAGURA Reflexions,90.99,-30%,0.11,6.05,5,3,2.72,18.14,-75.56,-831.16,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-981770,https://store.steampowered.com/app/981770/SENRAN_KAGURA_Reflexions/,]
1129250,NEKO-NIN exHeart 3,90.99,-30%,0.11,6.05,6,3,2.72,18.14,-75.56,-831.16,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1129250,https://store.steampowered.com/app/1129250/NEKONIN_exHeart_3/,]
1067720,Hellsinker.,90.99,-30%,0.11,6.05,5,3,2.72,18.14,-75.56,-831.16,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1067720,https://store.steampowered.com/app/1067720/Hellsinker/,]
