AppID,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (counting commission and value of the game) (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link
528120,Darkness and Flame: Born of Fire,33.24,-65%,,,,,,,,,,X,Product is priced on par with lowest recorded price,11 days ago,3 days,https://www.steamcardexchange.net/index.php?gamepage-appid-528120,https://store.steampowered.com/app/528120
1103100,1000 days to escape,33.99,-50%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 27,19 at -60%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-1103100,https://store.steampowered.com/app/1103100
560050,Xmas Shooting - Scramble!!,33.99,-50%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-560050,https://store.steampowered.com/app/560050
253980,Enclave,33.99,-50%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 13,59 at -80%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-253980,https://store.steampowered.com/app/253980
546700,The Butterfly Sign,33.99,-50%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 23,79 at -65%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-546700,https://store.steampowered.com/app/546700
259320,Heli Heroes,33.99,-50%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 11,55 at -83%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-259320,https://store.steampowered.com/app/259320
391340,Ferrum's Secrets: Where Is Grandpa?,33.99,-50%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 6,99 at -90%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-391340,https://store.steampowered.com/app/391340
604040,Legion Tale,33.99,-50%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 27,19 at -60%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-604040,https://store.steampowered.com/app/604040
215690,Zeno Clash 2,35.99,-80%,,,,,,,,,,X,Product is priced on par with lowest recorded price,10 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-215690,https://store.steampowered.com/app/215690
353700,The Deadly Tower of Monsters,35.99,-80%,,,,,,,,,,X,Product is priced on par with lowest recorded price,10 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-353700,https://store.steampowered.com/app/353700
331870,AER Memories of Old,35.99,-80%,,,,,,,,,,X,Product is priced on par with lowest recorded price,4 days ago,10 days,https://www.steamcardexchange.net/index.php?gamepage-appid-331870,https://store.steampowered.com/app/331870
